node,x,y
283,408851.2767,4247326.588
284,408851.2767,4247326.588
285,408934.0148,4247497.58
286,408934.0148,4247497.58
287,408983.6577,4247624.445
288,408983.6577,4247624.445
289,408956.0783,4247712.699
290,408956.0783,4247712.699
291,409105.0069,4247778.89
292,409105.0069,4247778.89
293,409259.4514,4247878.176
294,409259.4514,4247878.176
295,409722.7849,4247889.207
296,409722.7849,4247889.207
297,409777.9436,4248038.136
298,409777.9436,4248038.136
299,409634.5309,4248236.708
300,409634.5309,4248236.708
301,409689.6896,4248380.12
302,409689.6896,4248380.12
303,409717.269,4248551.112
304,409717.269,4248551.112
305,409788.9754,4248677.977
306,409788.9754,4248677.977
307,409970.9992,4248677.977
308,409987.5468,4248677.977
309,410318.4993,4248523.533
310,410340.5628,4248512.501
311,410522.5866,4248402.184
312,410522.5866,4248396.668
313,410754.2534,4248396.668
314,410754.2534,4248396.668
315,410936.2772,4248440.795
316,410936.2772,4248440.795
317,411007.9836,4248518.017
318,411007.9836,4248518.017
319,410958.3407,4248633.85
320,410958.3407,4248633.85
321,410897.6661,4248948.255
322,410897.6661,4248948.255
323,410803.8962,4249097.184
324,410803.8962,4249097.184
325,410732.1899,4249163.374
326,410732.1899,4249163.374
327,410324.0152,4249196.47
328,410324.0152,4249196.47
329,410064.7691,4249235.081
330,410064.7691,4249235.081
331,409888.2611,4249488.811
332,409888.2611,4249488.811
333,409794.4912,4249621.192
334,409794.4912,4249621.192
335,409733.8166,4249748.057
336,409733.8166,4249748.057
337,409722.7849,4249902.502
338,409722.7849,4249902.502
339,409921.3563,4250178.295
340,409921.3563,4250178.295
341,409893.777,4250261.033
342,409893.777,4250261.033
343,409822.0706,4250332.74
344,409822.0706,4250332.74
345,409860.6817,4250398.93
346,409866.1976,4250398.93
347,409948.9357,4250426.51
348,409948.9357,4250426.51
349,410169.5707,4250603.018
350,410169.5707,4250603.018
351,410506.039,4250740.914
352,410506.039,4250740.914
353,410594.293,4250950.518
354,410594.293,4250950.518
355,410511.5549,4251066.351
356,410511.5549,4251066.351
357,410517.0708,4251171.153
358,410517.0708,4251171.153
359,410632.9041,4251286.986
360,410632.9041,4251292.502
361,410649.4517,4251435.915
362,410649.4517,4251435.915
363,410770.801,4251518.653
364,410770.801,4251518.653
365,410930.7613,4251579.327
366,410930.7613,4251573.811
367,411052.1106,4251673.097
368,411052.1106,4251673.097
369,411052.1106,4251871.669
370,411052.1106,4251871.669
371,410958.3407,4252075.756
372,410958.3407,4252075.756
373,410980.4042,4252296.391
374,410980.4042,4252296.391
375,410919.7296,4252561.153
376,410919.7296,4252561.153
377,410710.1264,4253090.677
378,410710.1264,4253090.677
379,410544.6501,4253366.471
380,410544.6501,4253366.471
381,410136.4754,4253995.28
382,410136.4754,4253995.28
383,409617.9832,4254579.963
384,409617.9832,4254579.963
385,409408.38,4254524.804
386,409408.38,4254524.804
387,409121.5546,4254613.058
388,409121.5546,4254613.058
389,408768.5386,4254635.122
390,408768.5386,4254635.122
391,408614.0941,4254855.757
392,408614.0941,4254855.757
393,408393.4592,4255109.487
394,408393.4592,4255109.487
395,408150.7607,4255297.027
396,408150.7607,4255297.027
397,407643.3002,4255252.9
398,407643.3002,4255252.9
399,407610.205,4255616.947
400,407610.205,4255616.947
401,407786.713,4256014.09
402,407786.713,4256014.09
403,407963.221,4256311.948
404,407963.221,4256311.948
405,407863.9352,4256720.122
406,407863.9352,4256720.122
407,407852.9035,4257006.948
408,407852.9035,4257006.948
409,407830.84,4257216.551
410,407830.84,4257216.551
411,407499.8875,4257216.551
